                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5384,                   5.15,                 1.1643,                0.00026,                0.14286,                0.00018,                  7e-05,                 1.4577,                 6.2989,                 1.4349,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.5556,                 4.1398,                 1.2086,                0.00179,                      1,                0.00452,                0.00284,                 1.3341,                  5.786,                0.99952,             0.00021979,             0.00021979,             0.00021979
                      3,                 1.3828,                 4.0059,                0.98375,                0.00179,                      1,                0.00395,                0.00206,                 1.5639,                 5.2599,                 1.0771,             0.00033867,             0.00033867,             0.00033867
                      4,                 1.5414,                  2.468,                 1.2071,                0.00179,                      1,                0.03999,                0.01016,                 1.5197,                 5.2434,                 1.1028,             0.00045597,             0.00045597,             0.00045597
                      5,                 1.7902,                 2.5993,                 1.1916,                0.00179,                      1,                0.12145,                0.02807,                 1.3354,                 5.3718,                0.98934,             0.00057098,             0.00057098,             0.00057098
                      6,                 1.9066,                 2.4779,                  1.423,                0.00179,                      1,                0.06224,                0.00785,                 1.2161,                 5.5242,                0.95839,             0.00068304,             0.00068304,             0.00068304
                      7,                  1.488,                  3.186,                 1.0392,                0.00179,                      1,                 0.4267,                0.19957,                 1.4831,                 5.6685,                 1.0751,              0.0007915,              0.0007915,              0.0007915
                      8,                 1.8556,                 2.3424,                  1.332,                0.00179,                      1,                 0.4279,                0.10945,                 1.7368,                  5.481,                 1.3031,             0.00089572,             0.00089572,             0.00089572
                      9,                 1.7367,                 2.3284,                 1.3363,                0.75466,                0.42857,                0.42583,                0.07142,                  1.806,                 5.3021,                 1.3466,              0.0009951,              0.0009951,              0.0009951
                     10,                 1.3758,                  3.133,                 1.0571,                0.00103,                0.57143,                0.00124,                0.00061,                 1.6569,                 5.6871,                 1.3485,              0.0010891,              0.0010891,              0.0010891
                     11,                 1.4162,                 3.1073,                 1.0868,                0.00103,                0.57143,                0.00237,                  0.001,                   1.71,                 6.2149,                 1.4366,              0.0011771,              0.0011771,              0.0011771
                     12,                 1.6556,                  2.088,                 1.3327,                0.00681,                0.42857,                 0.0041,                0.00136,                 1.7709,                 9.4199,                 1.5115,              0.0012587,              0.0012587,              0.0012587
                     13,                 1.4896,                 1.9082,                 1.2019,                 0.0145,                0.42857,                0.01482,                0.00503,                 1.8011,                 5.3864,                 1.4965,              0.0013334,              0.0013334,              0.0013334
                     14,                  1.374,                 2.8808,                 1.0712,                0.00577,                0.42857,                0.00443,                0.00169,                 1.7599,                 9.4344,                 1.5382,              0.0014008,              0.0014008,              0.0014008
                     15,                  1.561,                 1.7398,                 1.2862,                0.00577,                0.42857,                0.00443,                0.00169,                 1.7599,                 9.4344,                 1.5382,              0.0014605,              0.0014605,              0.0014605
                     16,                 1.5814,                 1.8235,                 1.3087,                0.08679,                0.42857,                0.05381,                0.02932,                  1.636,                 5.3799,                 1.4868,              0.0015123,              0.0015123,              0.0015123
                     17,                 1.6177,                  2.028,                 1.3049,                0.11279,                0.42857,                0.06746,                0.03822,                 1.7792,                 5.1769,                 1.6222,              0.0015405,              0.0015405,              0.0015405
                     18,                 1.6625,                   1.85,                 1.2859,                0.98654,                0.85714,                0.96389,                0.35666,                 2.1709,                 4.1682,                 1.9961,              0.0015405,              0.0015405,              0.0015405
                     19,                 1.6553,                 2.0055,                 1.3978,                0.98654,                0.85714,                0.96389,                0.35666,                 2.1709,                 4.1682,                 1.9961,              0.0014869,              0.0014869,              0.0014869
                     20,                 1.7552,                 2.2775,                  1.396,                      1,                0.90144,                  0.995,                0.28344,                 2.3395,                 3.8518,                 2.3531,              0.0014315,              0.0014315,              0.0014315
                     21,                 1.5758,                 1.9168,                 1.3737,                0.91142,                0.85714,                 0.9775,                0.37894,                 1.9489,                 3.7121,                 1.9434,              0.0013744,              0.0013744,              0.0013744
                     22,                  1.529,                 1.7765,                 1.2538,                0.94238,                0.42857,                0.71719,                0.39189,                 1.5676,                 3.2609,                 1.5201,              0.0013159,              0.0013159,              0.0013159
                     23,                 1.3349,                 2.7168,                 1.1096,                0.94238,                0.42857,                0.71719,                0.39189,                 1.5676,                 3.2609,                 1.5201,              0.0012562,              0.0012562,              0.0012562
                     24,                 1.8359,                 2.3461,                 1.5414,                0.24356,                0.42857,                0.20596,                0.11343,                 1.4727,                 5.3537,                  1.423,              0.0011955,              0.0011955,              0.0011955
                     25,                 1.9248,                 2.4964,                 1.4458,                0.73052,                0.42857,                0.62833,                 0.3451,                 1.4862,                 3.7537,                 1.4374,              0.0011341,              0.0011341,              0.0011341
                     26,                 1.6918,                 2.2261,                 1.3127,                      1,                0.79515,                0.92033,                0.51061,                 1.5323,                 3.4245,                 1.4526,              0.0010722,              0.0010722,              0.0010722
                     27,                 1.5308,                 1.9243,                 1.2221,                      1,                0.79515,                0.92033,                0.51061,                 1.5323,                 3.4245,                 1.4526,                0.00101,                0.00101,                0.00101
                     28,                 1.8037,                 2.2303,                 1.4165,                0.97371,                0.85714,                0.93038,                0.45927,                 1.6883,                 3.2522,                 1.5044,             0.00094784,             0.00094784,             0.00094784
                     29,                 1.6406,                 2.0226,                 1.3947,                0.97341,                0.85714,                0.96389,                0.46409,                 1.7627,                 3.2149,                 1.5351,             0.00088592,             0.00088592,             0.00088592
                     30,                 1.5073,                 1.9005,                 1.2346,                0.97932,                0.85714,                  0.953,                0.44395,                 1.7347,                 3.0824,                  1.522,             0.00082449,             0.00082449,             0.00082449
                     31,                 1.4828,                  1.686,                 1.2027,                0.97932,                0.85714,                  0.953,                0.44395,                 1.7347,                 3.0824,                  1.522,              0.0007638,              0.0007638,              0.0007638
                     32,                 1.4746,                 1.8941,                 1.2376,                0.97237,                0.85714,                0.96389,                0.49935,                 1.6727,                 2.9571,                 1.4841,             0.00070407,             0.00070407,             0.00070407
                     33,                 1.2638,                 2.5646,                 1.0593,                0.65307,                0.85714,                0.77292,                 0.3949,                 1.6265,                 3.1697,                 1.4707,             0.00064556,             0.00064556,             0.00064556
                     34,                 1.4148,                 1.5861,                 1.2721,                0.98189,                0.85714,                0.93038,                0.48709,                 1.6275,                  3.435,                 1.4638,             0.00058848,             0.00058848,             0.00058848
                     35,                 1.4764,                 1.5138,                 1.1793,                0.98189,                0.85714,                0.93038,                0.48709,                 1.6275,                  3.435,                 1.4638,             0.00053306,             0.00053306,             0.00053306
                     36,                 1.4484,                  1.562,                 1.2624,                0.97199,                0.85714,                0.96389,                0.46262,                 1.6873,                 3.5088,                 1.4856,             0.00047953,             0.00047953,             0.00047953
                     37,                 1.5036,                 1.7058,                 1.2099,                0.87291,                0.98325,                 0.9775,                0.41673,                 1.8397,                 3.6117,                 1.5596,             0.00042809,             0.00042809,             0.00042809
                     38,                 1.2239,                 2.6321,                 1.0144,                0.87304,                 0.9843,                 0.9775,                0.43386,                 1.8847,                 3.5523,                 1.5887,             0.00037895,             0.00037895,             0.00037895
                     39,                  1.564,                 1.5716,                 1.1503,                0.87304,                 0.9843,                 0.9775,                0.43386,                 1.8847,                 3.5523,                 1.5887,              0.0003323,              0.0003323,              0.0003323
                     40,                 1.3856,                 1.5836,                 1.2215,                0.87277,                0.98215,                 0.9775,                0.44393,                 1.8597,                 3.3244,                  1.579,             0.00028832,             0.00028832,             0.00028832
                     41,                 1.4199,                 2.6838,                 1.1965,                0.97225,                0.85714,                0.96389,                0.46354,                 1.8233,                 3.1273,                 1.5719,             0.00024719,             0.00024719,             0.00024719
                     42,                 1.4227,                 2.3978,                 1.1349,                0.97725,                0.85714,                0.96389,                0.47192,                 1.7775,                 2.9527,                 1.5534,             0.00020907,             0.00020907,             0.00020907
                     43,                 1.3157,                 2.4161,                 1.3219,                0.97725,                0.85714,                0.96389,                0.47192,                 1.7775,                 2.9527,                 1.5534,             0.00017412,             0.00017412,             0.00017412
                     44,                 1.3867,                 2.5483,                 1.1637,                0.97972,                0.85714,                0.96389,                0.50763,                 1.7398,                 2.9857,                  1.526,             0.00014246,             0.00014246,             0.00014246
                     45,                  1.506,                 2.7825,                 1.2385,                0.98052,                0.85714,                0.96389,                0.52563,                  1.695,                 3.0015,                 1.4982,             0.00011422,             0.00011422,             0.00011422
                     46,                 1.3885,                 2.4501,                 1.2211,                0.98159,                0.85714,                0.96389,                0.52563,                 1.6674,                 3.0124,                  1.479,             8.9521e-05,             8.9521e-05,             8.9521e-05
                     47,                 1.3696,                 2.5051,                  1.248,                0.98159,                0.85714,                0.96389,                0.52563,                 1.6674,                 3.0124,                  1.479,             6.8454e-05,             6.8454e-05,             6.8454e-05
                     48,                  1.459,                 2.4964,                 1.3664,                0.87079,                0.96628,                 0.9775,                0.53386,                 1.6544,                 3.0129,                 1.4723,             5.1103e-05,             5.1103e-05,             5.1103e-05
                     49,                 1.3357,                 2.4328,                 1.2496,                0.87056,                0.96447,                 0.9775,                0.53386,                 1.6389,                 2.9952,                 1.4635,             3.7536e-05,             3.7536e-05,             3.7536e-05
                     50,                 1.3425,                  2.566,                 1.2408,                 0.8709,                0.96719,                 0.9775,                0.53386,                 1.6233,                 2.9642,                  1.456,             2.7806e-05,             2.7806e-05,             2.7806e-05
